0,C & P Coffee,Coffee Shop,5612 California Ave SW,at SW Findlay,47.55171750304562,-122.38673021739234,"[{'label': 'display', 'lat': 47.55171750304562, 'lng': -122.38673021739234}]",1635,98136,US,Seattle,WA,United States,"['5612 California Ave SW (at SW Findlay)', 'Seattle, WA 98136', 'United States']",45aaa8c6f964a5203b411fe3,test
1,All City Coffee,Coffee Shop,1205 S Vale St,at Airport Way S,47.54906940796485,-122.31720297628934,"[{'label': 'display', 'lat': 47.54906940796485, 'lng': -122.31720297628934}]",4674,98108,US,Seattle,WA,United States,"['1205 S Vale St (at Airport Way S)', 'Seattle, WA 98108', 'United States']",44170c45f964a5200b311fe3,test
2,Cupcake Royale and Verite Coffee,Cupcake Shop,4556 California Ave SW,at SW Alaska St,47.56118494421977,-122.38666834406041,"[{'label': 'display', 'lat': 47.56118494421977, 'lng': -122.38666834406041}]",2624,98116,US,Seattle,WA,United States,"['4556 California Ave SW (at SW Alaska St)', 'Seattle, WA 98116', 'United States']",49cc26ebf964a5204d591fe3,test
3,Onurka Applied Coffee Research Lab 3.0,Gastropub,,,47.537906,-122.369671,"[{'label': 'display', 'lat': 47.537906, 'lng': -122.369671}]",583,98126,US,Seattle,WA,United States,"['Seattle, WA 98126', 'United States']",5b0a1ea575eee4002c3329da,test
4,Freshy's Coffee,Coffee Shop,2735 California Ave SW,SW Lander St,47.5782012454133,-122.38666575482405,"[{'label': 'display', 'lat': 47.5782012454133, 'lng': -122.38666575482405}]",4479,98116,US,Seattle,WA,United States,"['2735 California Ave SW (SW Lander St)', 'Seattle, WA 98116', 'United States']",49c56afbf964a520ff561fe3,test
5,Youngstown Coffee Company,Coffee Shop,6032 California Ave SW,,47.547419,-122.387006,"[{'label': 'display', 'lat': 47.547419, 'lng': -122.387006}]",1232,98136,US,Seattle,WA,United States,"['6032 California Ave SW', 'Seattle, WA 98136', 'United States']",5d1cde6f7950f70023091d9c,test
6,Coffee Of The Islands 9th Fl,Conference Room,9th floor,,47.581163,-122.335744,"[{'label': 'display', 'lat': 47.581163, 'lng': -122.335744}]",5691,98134,US,Seattle,WA,United States,"['9th floor', 'Seattle, WA 98134', 'United States']",50bf933ae4b04651f7a6a256,test
7,Tully's Coffee,Coffee Shop,4201 SW Morgan St,,47.544701,-122.386002,"[{'label': 'display', 'lat': 47.544701, 'lng': -122.386002}]",950,98136,US,Seattle,WA,United States,"['4201 SW Morgan St', 'Seattle, WA 98136', 'United States']",4f328a0819836c91c7e1ad5f,test
8,WS Coffee House,Coffee Shop,,,47.548310306234754,-122.37619179561489,"[{'label': 'display', 'lat': 47.548310306234754, 'lng': -122.37619179561489}]",1101,,US,,Washington,United States,"['Washington', 'United States']",4e6103db52b1260c127e5c99,test
9,Bedhead Coffee,Coffee Shop,,,47.533482,-122.354827,"[{'label': 'display', 'lat': 47.533482, 'lng': -122.354827}]",1783,98106,US,Seattle,WA,United States,"['Seattle, WA 98106', 'United States']",5d82700095ffc6000768a88e,test
10,QED Coffee,Coffee Shop,6032 California Ave SW,,47.547474,-122.38716,"[{'label': 'display', 'lat': 47.547474, 'lng': -122.38716}]",1244,98136,US,Seattle,WA,United States,"['6032 California Ave SW', 'Seattle, WA 98136', 'United States']",582c92efa130da4f8ebb12fd,test
